,role,company_name,work_experience,location,skills,post_date
162,Tax Account reconciliation Analyst,HP India,0-3 Yrs,Bengaluru,"['SAP/S4 HANA', 'accounts reconciliation', 'transfer pricing', 'us gaap', 'financial management', 'tax returns', 'auditing', 'accounting']",9 Days Ago
163,Tax Account reconciliation Analysts,HP India,0-3 Yrs,Bengaluru,"['Accounting', 'Automation', 'Tax Account reconciliation Analysts', 'auditing', 'direct tax', 'corporate taxation', 'corporate finance', 'Taxation']",10 Days Ago
164,Tax Accounts reconciliation Analyst,HP India,0-3 Yrs,Bengaluru,"['Accounts reconciliation', 'Journal entry', 'US GAAP', 'Accounting', 'SAP/S4 HANA', 'financial management', 'Variance Analysis', 'Taxation']",10 Days Ago
165,BI Analyst (Immediate Joiner),Lkss & Associates,0-2 Yrs,Bengaluru,"['BI analysis', 'Business Intelligence', 'SAP Analytical', 'Power BI', 'Analysis', 'Tableau', 'MIS Reporting', 'Intelligence']",11 Days Ago
166,"Finance Analyst - Sales & Production (Immediate Joiner)
",Lkss & Associates,0-2 Yrs,Bengaluru,"['Power BI', 'Finance Analysis', 'SAP Analytical Tool', 'Sales', 'Analysis', 'Production', 'Data Management', 'stock management']",11 Days Ago
167,Analyst,Leading Company in Pharma & Life Sciences Sector,0-1 Yrs,Bengaluru,"['python', 'Artificial Intelligence', 'Data Visualization', 'Machine Learning', 'SQL', 'CSS', 'Tableau', 'Statistics']",14 Days Ago
168,Analyst,Firstsource Laboratory Solutions,0-3 Yrs,Mumbai,"['financial analysis', 'data analysis', 'modeling', 'team management', 'kpi', 'forecasting', 'strong analytical skills', 'process improvement']",30+ Days Ago
169,MIS Executive / Business Analyst,Seyie Auto,0-3 Yrs,Kohima,"['Automation', 'Data analysis', 'Data management', 'Analytical', 'Process improvement', 'Strategic planning', 'Business strategy', 'Troubleshooting']",30+ Days Ago
170,Associate - Data Engineer,Business Toys,0-3 Yrs,"New Delhi, Bengaluru","['Associate - Data Engineer', 'Data Engineering', 'Data']",4 Days Ago
171,Operations Business Analyst,Saveo,0-4 Yrs,Bengaluru,"['Supply chain', 'Procurement', 'Data analysis', 'Change management', 'Project management', 'Process improvement', 'Analytical', 'Risk management']",28 Days Ago
172,Business Analyst Training,Bacentric,0-4 Yrs,"Hyderabad, Pune, Chennai, Bengaluru","['Training', 'Customer Service', 'Business Analyst', 'Business analysis']",30+ Days Ago
173,Product Analyst,cult fit,0-3 Yrs,Bengaluru,"['hive', 'python', 'set', 'data analysis', 'data', 'big data analytics', 'quantitative analytics', 'data mining']",5 Days Ago
174,Data Scientist,Collegedunia,0-1 Yrs,Gurugram,"['R', 'Machin Learning', 'Python', 'visualizations', 'data analysis', 'Data Scientist', 'Data', 'Analysis']",17 Days Ago
175,Data Scientist,Scimitar Research,0-1 Yrs,Pune,"['Computer science', 'Data analysis', 'PDF', 'data science', 'data manipulation', 'Demand forecasting', 'Machine learning', 'Programming']",30+ Days Ago
176,Data Scientist,P S International HR Consultants,0-7 Yrs,Mumbai,"['Product management', 'Data analysis', 'Data modeling', 'Analytical', 'Database', 'model development', 'Analytics', 'SQL']",30+ Days Ago
177,Data scientist,Growthjockey,0-1 Yrs,Gurugram,"['Computer science', 'Data analysis', 'SAS', 'Machine learning', 'Data structures', 'Data processing', 'Predictive modeling', 'Pattern recognition']",30+ Days Ago
178,Business Analyst / Financial Analyst,Milestone Online Technology,0-1 Yrs,"Hybrid - Hyderabad, Chennai, Bengaluru","['Finance', 'Reporting', 'MIS Reporting', 'Excel Report Preparation', 'Business Analysis', 'Pivot Table', 'Business Planning', 'Excel']",21 Days Ago
179,Business Analyst,Maverick Hat,0-3 Yrs,Pune,"['functional specifications', 'data analysis', 'modeling', 'information technology', 'documentation', 'business analysis', 'user stories', 'process flow']",8 Days Ago
